Conditions
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""qd2_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""minIR_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""minIR_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""avgChargeTime_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Intercept_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""qd2_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_55 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""deltaQ_var_15 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""deltaQ_min_65 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""tempIntT_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Intercept_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_10 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""minIR_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""IRDiff2And100_60 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""tempIntT_60 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_60 = '0'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_60 = '0'"", ""tempIntT_95 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""tempIntT_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""IRDiff2And100_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""IRDiff2And100_65 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Intercept_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_5 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_40 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""capFadeCycle2Slope_85 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""capFadeCycle2Intercept_10 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Slope_85 = '0'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Slope_85 = '0'"", ""tempIntT_95 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Intercept_10 = '0'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Intercept_10 = '0'"", ""tempIntT_95 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""capFadeCycle2Slope_85 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""capFadeCycle2Intercept_10 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""minIR_40 = '0'""]"
"[""deltaQ_var_5 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""minIR_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_55 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""minIR_45 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""capFadeCycle2Intercept_70 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_45 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""qd2_40 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""tempIntT_60 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""deltaQ_min_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""minIR_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Intercept_65 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""qd2_55 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_80 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_min_10 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""capFadeCycle2Intercept_75 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""qd2_60 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""tempIntT_0 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""minIR_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""IRDiff2And100_75 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_min_75 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_25 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_min_50 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""tempIntT_10 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""minIR_85 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""qd2_55 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""tempIntT_30 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""tempIntT_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""minIR_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_75 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""minIR_35 = '0'""]"
"[""deltaQ_min_80 = '1'""]"
"[""IRDiff2And100_65 = '1'"", ""deltaQ_var_25 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""deltaQ_min_50 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""capFadeCycle2Slope_30 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""capFadeCycle2Intercept_65 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""tempIntT_5 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""minIR_80 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""deltaQ_var_45 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""deltaQ_min_30 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""capFadeCycle2Intercept_80 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""qd2_70 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""tempIntT_10 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""minIR_70 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""IRDiff2And100_70 = '1'"", ""tempIntT_35 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_40 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_min_70 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""IRDiff2And100_70 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_15 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_min_65 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""qd2_30 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""capFadeCycle2Intercept_20 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""avgChargeTime_55 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""minIR_65 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""qd2_45 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""minIR_25 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""qd2_40 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""tempIntT_45 = '0'""]"
"[""IRDiff2And100_70 = '1'""]"
"[""IRDiff2And100_70 = '1'"", ""minIR_20 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Intercept_40 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_15 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""IRDiff2And100_60 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""tempIntT_60 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Intercept_30 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_70 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""avgChargeTime_35 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""tempIntT_40 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""minIR_55 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_50 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""minIR_30 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Intercept_20 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""avgChargeTime_55 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""minIR_65 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_30 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""IRDiff2And100_65 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""qd2_40 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""minIR_30 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""capFadeCycle2Intercept_35 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""qd2_5 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""tempIntT_40 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""minIR_35 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""capFadeCycle2Intercept_40 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""qd2_15 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_45 = '0'""]"
"[""deltaQ_min_75 = '1'""]"
"[""deltaQ_min_75 = '1'"", ""minIR_35 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Intercept_85 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_75 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""avgChargeTime_95 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""minIR_60 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""IRDiff2And100_85 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""avgChargeTime_30 = '1'""]"
"[""IRDiff2And100_70 = '1'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""tempIntT_50 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Intercept_45 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_25 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""minIR_25 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""minIR_20 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""deltaQ_var_35 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""deltaQ_min_45 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""tempIntT_35 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""capFadeCycle2Intercept_50 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""tempIntT_60 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""minIR_40 = '0'""]"
"[""IRDiff2And100_65 = '1'""]"
"[""IRDiff2And100_75 = '1'"", ""capFadeCycle2Slope_30 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""qd2_35 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_60 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""minIR_45 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_35 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""IRDiff2And100_80 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""qd2_55 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""tempIntT_75 = '0'""]"
"[""tempIntT_35 = '1'"", ""qd2_55 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""IRDiff2And100_75 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""capFadeCycle2Intercept_45 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""tempIntT_65 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""minIR_40 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Intercept_65 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""tempIntT_65 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""capFadeCycle2Slope_25 = '1'""]"
"[""tempIntT_35 = '1'"", ""capFadeCycle2Intercept_85 = '0'""]"
"[""tempIntT_35 = '1'"", ""qd2_80 = '0'""]"
"[""tempIntT_35 = '1'"", ""capFadeCycle2Intercept_20 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""deltaQ_var_0 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""deltaQ_min_90 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_10 = '0'"", ""minIR_40 = '0'""]"
"[""tempIntT_35 = '1'"", ""avgChargeTime_35 = '0'""]"
"[""tempIntT_35 = '1'"", ""deltaQ_var_70 = '0'""]"
"[""tempIntT_35 = '1'"", ""deltaQ_min_15 = '0'""]"
"[""tempIntT_35 = '1'"", ""capFadeCycle2Slope_75 = '0'""]"
"[""tempIntT_35 = '1'"", ""avgChargeTime_0 = '0'""]"
"[""tempIntT_35 = '1'"", ""minIR_25 = '0'""]"
"[""tempIntT_35 = '1'"", ""IRDiff2And100_30 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""qd2_60 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""minIR_45 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""deltaQ_min_90 = '0'""]"
"[""IRDiff2And100_65 = '1'"", ""qd2_35 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""capFadeCycle2Intercept_70 = '0'""]"
"[""tempIntT_35 = '1'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""tempIntT_0 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""minIR_70 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""deltaQ_var_40 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""deltaQ_min_40 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""tempIntT_10 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""minIR_85 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""deltaQ_var_20 = '0'""]"
"[""tempIntT_35 = '1'"", ""deltaQ_var_60 = '0'""]"
"[""tempIntT_35 = '1'"", ""deltaQ_min_20 = '0'""]"
"[""tempIntT_35 = '1'"", ""minIR_75 = '0'""]"
"[""tempIntT_35 = '1'"", ""IRDiff2And100_90 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_min_80 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""minIR_55 = '0'""]"
"[""tempIntT_35 = '1'"", ""minIR_55 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""capFadeCycle2Intercept_80 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""qd2_65 = '0'""]"
"[""tempIntT_35 = '1'"", ""deltaQ_var_35 = '0'""]"
"[""tempIntT_35 = '1'"", ""deltaQ_min_45 = '0'""]"
"[""tempIntT_35 = '1'"", ""deltaQ_min_80 = '0'""]"
"[""tempIntT_35 = '1'"", ""capFadeCycle2Intercept_0 = '0'""]"
"[""tempIntT_35 = '1'"", ""qd2_20 = '0'""]"
"[""tempIntT_35 = '1'"", ""avgChargeTime_25 = '0'""]"
"[""tempIntT_35 = '1'"", ""avgChargeTime_85 = '0'""]"
"[""tempIntT_35 = '1'"", ""IRDiff2And100_45 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""deltaQ_min_60 = '0'""]"
"[""tempIntT_35 = '1'"", ""deltaQ_var_10 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""avgChargeTime_35 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""deltaQ_var_5 = '0'""]"
"[""deltaQ_min_75 = '1'"", ""deltaQ_var_10 = '1'""]"
"[""IRDiff2And100_75 = '1'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""qd2_45 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""minIR_45 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""qd2_95 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_var_0 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""deltaQ_min_90 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""avgChargeTime_60 = '0'""]"
"[""IRDiff2And100_70 = '1'"", ""minIR_40 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""deltaQ_min_55 = '0'""]"
"[""tempIntT_35 = '1'"", ""IRDiff2And100_80 = '0'""]"
"[""IRDiff2And100_75 = '1'"", ""capFadeCycle2Intercept_95 = '0'""]"
"[""tempIntT_35 = '1'"", ""qd2_95 = '0'""]"
"[""tempIntT_35 = '1'"", ""capFadeCycle2Slope_30 = '0'""]"
